attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,article-4-direction,,a87e5975ea7cddd88764f557ad4880e06b58a480cb7bace2da8bcf3c1e5c92ba,,local-authority-eng:LBH,article-4-direction,2021-01-29,2021-01-29,2021-01-13
,article-4-direction,,a87e5975ea7cddd88764f557ad4880e06b58a480cb7bace2da8bcf3c1e5c92ba,,local-authority-eng:SWK,article-4-direction,2021-01-29,2021-01-29,2021-01-13
,article-4-direction,,a87e5975ea7cddd88764f557ad4880e06b58a480cb7bace2da8bcf3c1e5c92ba,,local-authority-eng:BUC,article-4-direction,2021-01-29,2021-01-29,2021-01-13
,article-4-direction,,,,development-corporation:Q20648596,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,development-corporation:Q6670544,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,development-corporation:Q72456968,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,development-corporation:Q72463795,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:ADU,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:ALL,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:AMB,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:ARU,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:ASF,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:ASH,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:AYL,article-4-direction,2021-08-31T16:13:35.527Z,,2020-03-31
,article-4-direction,,,,local-authority-eng:BAB,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BAE,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BAI,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BAN,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BAR,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BAS,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BBD,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BDF,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BDG,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BEN,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BEX,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BIR,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BLA,article-4-direction,2021-08-31T16:13:35.527Z,,
,article-4-direction,,,,local-authority-eng:BMH,article-4-direction,2021-08-31T16:13:35.528Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:BNE,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BNH,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BNS,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BOL,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BOS,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BOT,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BPC,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BPL,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRA,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRC,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRD,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRE,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRM,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRO,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRT,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRW,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRX,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BRY,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BST,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BUN,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:BUR,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CAB,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CAN,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CAR,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CAS,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CBF,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CHA,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CHC,article-4-direction,2021-08-31T16:13:35.528Z,,2019-03-31
,article-4-direction,,,,local-authority-eng:CHE,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CHI,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CHL,article-4-direction,2021-08-31T16:13:35.528Z,,
,article-4-direction,,,,local-authority-eng:CHN,article-4-direction,2021-08-31T16:13:35.528Z,,2020-03-31
,article-4-direction,,,,local-authority-eng:CHO,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CHR,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CHS,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CHT,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CHW,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CLD,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CMD,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COL,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CON,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COP,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COR,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COT,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:COV,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CRA,article-4-direction,2021-08-31T16:13:35.529Z,,
,article-4-direction,,,,local-authority-eng:CRW,article-4-direction,2021-08-31T16:13:35.529Z,,
