categories,documentation-url,end-date,entry-date,geography,geometry,legislation,name,notes,organisation,point,reference,start-date,slug
,,,2021-01-04,article-4-direction:llc-art4-0001,,,LLC/ART4/0001,,local-authority-eng:BUC,,AD307,1958-10-29,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0001
,,,2021-01-04,article-4-direction:llc-art4-0002,,,LLC/ART4/0002,,local-authority-eng:BUC,,AD308,1958-12-23,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0002
,,,2021-01-04,article-4-direction:llc-art4-0003,,,LLC/ART4/0003,,local-authority-eng:BUC,,AD320,1959-04-17,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0003
,,,2021-01-04,article-4-direction:llc-art4-0004,,,LLC/ART4/0004,,local-authority-eng:BUC,,AD309,1959-04-29,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0004
,,,2021-01-04,article-4-direction:llc-art4-0005,,,LLC/ART4/0005,,local-authority-eng:BUC,,AD310,1959-03-25,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0005
,,,2021-01-04,article-4-direction:llc-art4-0006,,,LLC/ART4/0006,,local-authority-eng:BUC,,AD311,1959-11-27,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0006
,,,2021-01-04,article-4-direction:llc-art4-0007,,,LLC/ART4/0007,,local-authority-eng:BUC,,AD312,1963-10-12,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0007
,,,2021-01-04,article-4-direction:llc-art4-0008,,,LLC/ART4/0008,,local-authority-eng:BUC,,AD313,1976-02-25,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0008
,,,2021-01-04,article-4-direction:llc-art4-0009,,,LLC/ART4/0009,,local-authority-eng:BUC,,AD314,1968-08-13,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0009
,,,2021-01-04,article-4-direction:llc-art4-0010,,,LLC/ART4/0010,,local-authority-eng:BUC,,AD321,1970-12-05,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0010
,,,2021-01-04,article-4-direction:llc-art4-0011,,,LLC/ART4/0011,,local-authority-eng:BUC,,AD315,1974-08-28,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0011
,,,2021-01-04,article-4-direction:llc-art4-0012,,,LLC/ART4/0012,,local-authority-eng:BUC,,AD316,1975-11-19,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0012
,,,2021-01-04,article-4-direction:llc-art4-0013,,,LLC/ART4/0013,,local-authority-eng:BUC,,AD317,1977-04-02,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0013
,,,2021-01-04,article-4-direction:llc-art4-0014,,,LLC/ART4/0014,,local-authority-eng:BUC,,AD318,1980-06-16,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0014
,,,2021-01-04,article-4-direction:llc-art4-0015-os-3917,,,LLC/ART4/0015 OS 3917,,local-authority-eng:BUC,,AD319,1988-04-08,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0015-os-3917
,,,2021-01-04,article-4-direction:llc-art4-0016,,,LLC/ART4/0016,,local-authority-eng:BUC,,AD186731,2004-05-05,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0016
,,,2021-01-04,article-4-direction:llc-art4-0017,,,LLC/ART4/0017,,local-authority-eng:BUC,,AD285884,2007-08-16,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0017
,,,2021-01-04,article-4-direction:llc-art4-0018,,,LLC/ART4/0018,,local-authority-eng:BUC,,AD287247,2007-09-21,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0018
,,,2021-01-04,article-4-direction:llc-art4-0019,,,LLC/ART4/0019,,local-authority-eng:BUC,,AD390975,2010-05-26,/article-4-direction/local-authority-eng/BUC/article-4-direction-llc-art4-0019
,https://www.lambeth.gov.uk/sites/default/files/AlbertSquareCAstatement2009_2.pdf,,2021-01-04,article-4-direction:albert-square,,,Albert Square,,local-authority-eng:LBH,,CA4,2009-04-24,/article-4-direction/local-authority-eng/LBH/article-4-direction-albert-square
,https://www.lambeth.gov.uk/sites/default/files/pl-a4-confirmation-notice.pdf,,2021-01-04,article-4-direction:clapham-north-industrial-estat,,,Clapham North Industrial Estate Key Industrial and Business Area;Durham Street/Oval Way Key Industrial and Business Area;Eurolink Business Centre Key Industrial and Business Area;Kennington Business Park Key Industrial and Business Area;Lion Yard Key Industrial and Business Area;Park Hall Trading Estate Key Industrial and Business Area;Shakespeare Road Business Centre Key Industrial and Business Area;Southbank House and Newport Street Key Industrial and Business Area;Stannary Street Key Industrial and Business Area;Timber Mill Way Key Industrial and Business Area;Brixton Town Centre;some sites in Clapham Town Centre,,local-authority-eng:LBH,,,2017-09-15,/article-4-direction/local-authority-eng/LBH/article-4-direction-clapham-north-industrial-estat
,,,2021-01-04,article-4-direction:hanover-garden,,,Hanover Garden,,local-authority-eng:LBH,,,,/article-4-direction/local-authority-eng/LBH/article-4-direction-hanover-garden
,https://www.lambeth.gov.uk/sites/default/files/CA48HydeFarmArticle4Direction2002.pdf,,2021-01-04,article-4-direction:hyde-farm,,,Hyde Farm,,local-authority-eng:LBH,,CA48,2002-11-22,/article-4-direction/local-authority-eng/LBH/article-4-direction-hyde-farm
,https://www.lambeth.gov.uk/sites/default/files/CA3LansdowneGardensArticle4Direction1973.pdf,,2021-01-04,article-4-direction:lansdowne-gardens,,,Lansdowne Gardens,,local-authority-eng:LBH,,CA3,1981-07-07,/article-4-direction/local-authority-eng/LBH/article-4-direction-lansdowne-gardens
,https://www.lambeth.gov.uk/sites/default/files/CA31LeighamCourtEstateArticle4Report1995.pdf,,2021-01-04,article-4-direction:leigham-court-estate,,,Leigham Court Estate,,local-authority-eng:LBH,,CA31,1995-11-21,/article-4-direction/local-authority-eng/LBH/article-4-direction-leigham-court-estate
,https://www.lambeth.gov.uk/sites/default/files/pl_CAZ_Article_4_Direction_Confirmation_Notice.pdf,,2021-01-04,article-4-direction:london-central-activities-zone,,,London Central Activities Zone within Lambeth,,local-authority-eng:LBH,,,2019-05-31,/article-4-direction/local-authority-eng/LBH/article-4-direction-london-central-activities-zone
,https://www.lambeth.gov.uk/sites/default/files/CA19ParkHallRoadArticle4DirectionGuidanceNote1985.pdf,,2021-01-04,article-4-direction:park-hall-road,,,Park Hall Road,,local-authority-eng:LBH,,CA19,1985-02-18,/article-4-direction/local-authority-eng/LBH/article-4-direction-park-hall-road
,https://www.lambeth.gov.uk/sites/default/files/ca11-st-marks-article-4-direction-guidance-note.pdf,,2021-01-04,article-4-direction:st-marks,,,St Marks,,local-authority-eng:LBH,,CA11,1975-01-31,/article-4-direction/local-authority-eng/LBH/article-4-direction-st-marks
,https://www.lambeth.gov.uk/sites/default/files/pl-stockwellPark-1973.pdf,,2021-01-04,article-4-direction:stockwell-park,,,Stockwell Park,,local-authority-eng:LBH,,CA5,1973-07-16,/article-4-direction/local-authority-eng/LBH/article-4-direction-stockwell-park
,,,2021-01-04,article-4-direction:streatham-lodge,,,Streatham Lodge,,local-authority-eng:LBH,,CA62,,/article-4-direction/local-authority-eng/LBH/article-4-direction-streatham-lodge
,,,2021-01-04,article-4-direction:central-activites-zone,,,Central Activites Zone,,local-authority-eng:SWK,,,,/article-4-direction/local-authority-eng/SWK/article-4-direction-central-activites-zone
,,,2021-01-04,article-4-direction:change-of-use-in-town-centres,,,Change of Use in Town Centres,,local-authority-eng:SWK,,,,/article-4-direction/local-authority-eng/SWK/article-4-direction-change-of-use-in-town-centres
,,,2021-01-04,article-4-direction:houses-in-multiple-occupation,,,Houses in Multiple Occupation,,local-authority-eng:SWK,,,,/article-4-direction/local-authority-eng/SWK/article-4-direction-houses-in-multiple-occupation
,,,2021-01-04,article-4-direction:light-industrial,,,Light Industrial,,local-authority-eng:SWK,,,,/article-4-direction/local-authority-eng/SWK/article-4-direction-light-industrial
,,,2021-01-04,article-4-direction:old-southern-railways-and-the-,,,Old Southern Railways and the Forage,,local-authority-eng:SWK,,,,/article-4-direction/local-authority-eng/SWK/article-4-direction-old-southern-railways-and-the-
,,,2021-01-04,article-4-direction:public-houses,,,Public Houses,,local-authority-eng:SWK,,,,/article-4-direction/local-authority-eng/SWK/article-4-direction-public-houses
,,,2021-01-04,article-4-direction:railway-arches,,,Railway arches,,local-authority-eng:SWK,,,,/article-4-direction/local-authority-eng/SWK/article-4-direction-railway-arches
,,,2021-01-04,article-4-direction:sunray-estate,,,Sunray Estate,,local-authority-eng:SWK,,,,/article-4-direction/local-authority-eng/SWK/article-4-direction-sunray-estate
